timepoint_id,person,ChEBI,val
02-019-GMA-29M-IT1,02-019-GMA,46905,0.063052131
02-019-GMA-29M-IT1,02-019-GMA,17418,0.881216711
02-019-GMA-29M-IT1,02-019-GMA,17295,0.132354463
02-019-GMA-29M-IT1,02-019-GMA,26078,0.618870445
02-019-GMA-29M-IT1,02-019-GMA,17203,0.070619915
02-019-GMA-29M-IT1,02-019-GMA,30768,0.209964633
02-019-GMA-29M-IT1,02-019-GMA,28972,0.257930225
03-131-GMA-06M,03-131-GMA,27607,0.515517113
02-019-GMA-29M-IT1,02-019-GMA,18183,0.905474709
02-019-GMA-29M-IT1,02-019-GMA,62346,0.207981315
02-019-GMA-29M-IT1,02-019-GMA,15963,0.144996107
02-019-GMA-29M-IT1,02-019-GMA,21077,0.324150299
02-019-GMA-29M-IT1,02-019-GMA,47013,1.641997275
02-019-GMA-29M-IT1,02-019-GMA,41865,0.110246516
02-019-GMA-29M-IT1,02-019-GMA,17115,0.479977534
02-019-GMA-29M-IT1,02-019-GMA,17924,0.594271981
02-019-GMA-29M-IT1,02-019-GMA,15741,0.373834927
02-019-GMA-29M-IT1,02-019-GMA,17992,0.046909169
02-019-GMA-29M-IT1,02-019-GMA,49092,0.067006264
02-019-GMA-29M-IT1,02-019-GMA,15671,0.103101689
02-019-GMA-29M-IT1,02-019-GMA,28865,0.000619533
02-019-GMA-29M-IT1,02-019-GMA,9410,0.001278211
02-019-GMA-29M-IT1,02-019-GMA,NA,0.000528676
02-019-GMA-29M-IT1,02-019-GMA,15908,0.463870757
02-019-GMA-29M-IT1,02-019-GMA,16857,0.054032022
02-019-GMA-29M-IT1,02-019-GMA,23956,0.212246117
02-019-GMA-29M-IT1,02-019-GMA,27607,0.259870672
02-019-GMA-29M-IT1,02-019-GMA,32528,0.242310556
02-019-GMA-29M-IT1,02-019-GMA,17748,0.080599057
02-019-GMA-29M-IT1,02-019-GMA,16199,0.284024333
02-019-GMA-29M-IT1,02-019-GMA,16704,0.082560590
02-019-GMA-29M-IT1,02-019-GMA,9907,0.000803059
02-019-GMA-29M-IT1,02-019-GMA,17418,0.067313810
02-019-GMA-29M-IT1,02-019-GMA,16414,0.071094798
02-019-GMA-29M-IT1,02-019-GMA,1305691,0.591329069
02-019-GMA-29M-IT1,02-019-GMA,53455,0.512593513
02-019-GMA-30M-IT2,02-019-GMA,62064,0.102891980
02-019-GMA-30M-IT2,02-019-GMA,60645,0.587198795
02-019-GMA-30M-IT2,02-019-GMA,32796,0.132602024
02-019-GMA-30M-IT2,02-019-GMA,59783,0.191109611
02-019-GMA-30M-IT2,02-019-GMA,36632,0.046408752
02-019-GMA-30M-IT2,02-019-GMA,68454,0.032948209
02-019-GMA-30M-IT2,02-019-GMA,33033,0.066235823
02-019-GMA-30M-IT2,02-019-GMA,17066,0.159652266
02-019-GMA-30M-IT2,02-019-GMA,15614,0.139383142
02-019-GMA-30M-IT2,02-019-GMA,25998,0.078141008
02-019-GMA-30M-IT2,02-019-GMA,15366,0.298610255
02-019-GMA-30M-IT2,02-019-GMA,15344,0.122975574
02-019-GMA-30M-IT2,02-019-GMA,16977,0.536994303
02-019-GMA-30M-IT2,02-019-GMA,37741,0.695198058
02-019-GMA-30M-IT2,02-019-GMA,17475,0.037864016
02-019-GMA-30M-IT2,02-019-GMA,40886,2.111168915
02-019-GMA-30M-IT2,02-019-GMA,18333,0.079134736
02-019-GMA-30M-IT2,02-019-GMA,17196,0.059318608
02-019-GMA-30M-IT2,02-019-GMA,17053,0.272134119
02-019-GMA-30M-IT2,02-019-GMA,30746,0.060556811
02-019-GMA-30M-IT2,02-019-GMA,30772,0.169462001
02-019-GMA-30M-IT2,02-019-GMA,36217,1.095881080
02-019-GMA-30M-IT2,02-019-GMA,16755,0.002662164
02-019-GMA-30M-IT2,02-019-GMA,16359,0.000827019
02-019-GMA-30M-IT2,02-019-GMA,28834,0.017994110
